## Fluke scopemeter waveform capture - generated with ScopeGrab32 v2.1 alpha
## wave downloaded 2005-04-23 23:23:26
## SM model: ScopeMeter model 97   V4.02   92-11-03
## data in decimal notation (use find/replace . to , if necessary)

Channel A

V offset:;0.000000;s offset:;-0.000400;
delta V:;0.002000;delta s:;0.000008
V divs:;255;s divs:;512

V range;min:;-0.256000;max:;0.256000
s range;min:;-0.000400;max:;0.003688

s;V
0.000368;-0.004000
0.000376;0.002000
0.000384;0.002000
0.000392;0.002000
0.000400;0.002000
0.000408;0.002000
0.000416;0.002000
0.000424;0.002000
0.000432;0.014000
0.000440;0.006000
0.000448;0.002000
0.000456;0.004000
0.000464;0.004000
0.000472;0.004000
0.000480;0.004000
0.000488;0.004000
0.000496;0.004000
0.000504;0.002000
0.000512;0.004000
0.000520;0.016000
0.000528;0.002000
0.000536;0.002000
0.000544;0.002000
0.000552;0.002000
0.000560;0.002000
0.000568;0.000000
0.000576;0.000000
0.000584;0.000000
0.000592;0.000000
0.000600;0.000000
0.000608;0.000000
0.000616;0.000000
0.000624;0.000000
0.000632;0.000000
0.000640;0.000000
0.000648;0.000000
0.000656;0.000000
0.000664;0.000000
0.000672;0.000000
0.000680;0.000000
0.000688;0.000000
0.000696;0.000000
0.000704;0.000000
0.000712;0.000000
0.000720;0.000000
0.000728;0.000000
0.000736;0.000000
0.000744;0.000000
0.000752;0.000000
0.000760;0.000000
0.000768;0.000000
0.000776;0.000000
0.000784;0.000000
0.000792;0.000000
0.000800;0.000000
0.000808;0.000000
0.000816;0.000000
0.000824;0.000000
0.000832;0.000000
0.000840;0.000000
0.000848;0.000000
0.000856;0.000000
0.000864;0.000000
0.000872;0.000000
0.000880;0.002000
0.000888;0.000000
0.000896;0.002000
0.000904;0.004000
0.000912;0.004000
0.000920;0.004000
0.000928;0.004000
0.000936;0.014000
0.000944;0.006000
0.000952;0.008000
0.000960;0.010000
0.000968;0.006000
0.000976;0.006000
0.000984;0.006000
0.000992;0.006000
0.001000;-0.004000
0.001008;-0.004000
0.001016;0.002000
0.001024;0.002000
0.001032;0.002000
0.001040;0.002000
0.001048;0.002000
0.001056;0.002000
0.001064;0.002000
0.001072;0.014000
0.001080;0.006000
0.001088;0.002000
0.001096;0.004000
0.001104;0.004000
0.001112;0.004000
0.001120;0.004000
0.001128;0.004000
0.001136;0.004000
0.001144;0.002000
0.001152;0.004000
0.001160;0.016000
0.001168;0.002000
0.001176;0.002000
0.001184;0.002000
0.001192;0.002000
0.001200;0.002000
0.001208;0.000000
0.001216;0.000000
0.001224;0.000000
0.001232;0.000000
0.001240;0.000000
0.001248;0.000000
0.001256;0.000000
0.001264;0.000000
0.001272;0.000000
0.001280;0.000000
0.001288;0.000000
0.001296;0.000000
0.001304;0.000000
0.001312;0.000000
0.001320;0.000000
0.001328;0.000000
0.001336;0.000000
0.001344;0.000000
