551	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
556	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 38 	
561	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
572	0.00000251	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 38 	
577	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
585	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 38 	
590	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
595	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 38 	
600	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
605	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 38 	
610	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
615	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 38 	
620	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
625	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
631	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 46 	
636	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 42 	
641	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 37 	
652	0.00000251	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
657	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
662	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
670	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 31 	
675	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
680	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 43 	
685	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 31 	
690	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 46 	
695	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 32 	
700	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 31 	
706	0.00000251	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
711	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
716	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
721	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
732	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
737	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
742	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
747	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 31 	
755	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
760	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
765	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
770	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
775	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
780	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 32 	
785	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
790	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
795	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
801	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 32 	
812	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
